+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5563   |
|  epoch 2  |   0.4757   |
|  epoch 3  |   0.4457   |
|  epoch 4  |   0.4187   |
|  epoch 5  |   0.3944   |
|  epoch 6  |   0.3683   |
|  epoch 7  |   0.3449   |
|  epoch 8  |   0.3235   |
|  epoch 9  |   0.3044   |
|  epoch 10 |   0.2866   |
|  epoch 11 |   0.2680   |
|  epoch 12 |   0.2494   |
|  epoch 13 |   0.2353   |
|  epoch 14 |   0.2176   |
|  epoch 15 |   0.2042   |
|  epoch 16 |   0.1852   |
|  epoch 17 |   0.1714   |
|  epoch 18 |   0.1615   |
|  epoch 19 |   0.1500   |
|  epoch 20 |   0.1411   |
|  epoch 21 |   0.1253   |
|  epoch 22 |   0.1185   |
|  epoch 23 |   0.1099   |
|  epoch 24 |   0.1083   |
|  epoch 25 |   0.1032   |
|  epoch 26 |   0.0906   |
|  epoch 27 |   0.0888   |
|  epoch 28 |   0.0853   |
|  epoch 29 |   0.0793   |
|  epoch 30 |   0.0752   |
|  epoch 31 |   0.0711   |
|  epoch 32 |   0.0684   |
|  epoch 33 |   0.0616   |
|  epoch 34 |   0.0602   |
|  epoch 35 |   0.0596   |
|  epoch 36 |   0.0632   |
|  epoch 37 |   0.0592   |
|  epoch 38 |   0.0587   |
|  epoch 39 |   0.0507   |
|  epoch 40 |   0.0527   |
|  epoch 41 |   0.0484   |
|  epoch 42 |   0.0445   |
|  epoch 43 |   0.0513   |
|  epoch 44 |   0.0475   |
|  epoch 45 |   0.0465   |
|  epoch 46 |   0.0397   |
|  epoch 47 |   0.0398   |
|  epoch 48 |   0.0349   |
|  epoch 49 |   0.0371   |
|  epoch 50 |   0.0410   |
|  epoch 51 |   0.0403   |
|  epoch 52 |   0.0412   |
|  epoch 53 |   0.0400   |
|  epoch 54 |   0.0402   |
|  epoch 55 |   0.0387   |
|  epoch 56 |   0.0303   |
|  epoch 57 |   0.0312   |
|  epoch 58 |   0.0307   |
|  epoch 59 |   0.0302   |
|  epoch 60 |   0.0253   |
|  epoch 61 |   0.0289   |
|  epoch 62 |   0.0405   |
|  epoch 63 |   0.0377   |
|  epoch 64 |   0.0342   |
|  epoch 65 |   0.0282   |
|  epoch 66 |   0.0311   |
|  epoch 67 |   0.0313   |
|  epoch 68 |   0.0269   |
|  epoch 69 |   0.0270   |
|  epoch 70 |   0.0260   |
|  epoch 71 |   0.0245   |
|  epoch 72 |   0.0301   |
|  epoch 73 |   0.0291   |
|  epoch 74 |   0.0245   |
|  epoch 75 |   0.0219   |
|  epoch 76 |   0.0270   |
|  epoch 77 |   0.0275   |
|  epoch 78 |   0.0296   |
|  epoch 79 |   0.0316   |
|  epoch 80 |   0.0249   |
|  epoch 81 |   0.0268   |
|  epoch 82 |   0.0221   |
|  epoch 83 |   0.0264   |
|  epoch 84 |   0.0246   |
|  epoch 85 |   0.0211   |
|  epoch 86 |   0.0254   |
|  epoch 87 |   0.0210   |
|  epoch 88 |   0.0231   |
|  epoch 89 |   0.0191   |
|  epoch 90 |   0.0169   |
|  epoch 91 |   0.0193   |
|  epoch 92 |   0.0220   |
|  epoch 93 |   0.0260   |
|  epoch 94 |   0.0274   |
|  epoch 95 |   0.0192   |
|  epoch 96 |   0.0208   |
|  epoch 97 |   0.0175   |
|  epoch 98 |   0.0179   |
|  epoch 99 |   0.0228   |
| epoch 100 |   0.0225   |
| epoch 101 |   0.0220   |
| epoch 102 |   0.0186   |
| epoch 103 |   0.0169   |
| epoch 104 |   0.0138   |
| epoch 105 |   0.0160   |
| epoch 106 |   0.0216   |
| epoch 107 |   0.0179   |
| epoch 108 |   0.0193   |
| epoch 109 |   0.0216   |
| epoch 110 |   0.0249   |
| epoch 111 |   0.0172   |
| epoch 112 |   0.0169   |
| epoch 113 |   0.0199   |
| epoch 114 |   0.0164   |
| epoch 115 |   0.0194   |
| epoch 116 |   0.0135   |
| epoch 117 |   0.0133   |
| epoch 118 |   0.0169   |
| epoch 119 |   0.0189   |
| epoch 120 |   0.0141   |
| epoch 121 |   0.0166   |
| epoch 122 |   0.0221   |
| epoch 123 |   0.0184   |
| epoch 124 |   0.0121   |
| epoch 125 |   0.0179   |
| epoch 126 |   0.0173   |
| epoch 127 |   0.0197   |
| epoch 128 |   0.0168   |
| epoch 129 |   0.0148   |
| epoch 130 |   0.0146   |
| epoch 131 |   0.0125   |
| epoch 132 |   0.0126   |
| epoch 133 |   0.0211   |
| epoch 134 |   0.0170   |
| epoch 135 |   0.0133   |
| epoch 136 |   0.0136   |
| epoch 137 |   0.0145   |
| epoch 138 |   0.0145   |
| epoch 139 |   0.0138   |
| epoch 140 |   0.0129   |
| epoch 141 |   0.0198   |
| epoch 142 |   0.0152   |
| epoch 143 |   0.0140   |
| epoch 144 |   0.0128   |
| epoch 145 |   0.0108   |
| epoch 146 |   0.0099   |
| epoch 147 |   0.0154   |
| epoch 148 |   0.0173   |
| epoch 149 |   0.0176   |
| epoch 150 |   0.0135   |
+-----------+------------+
