+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5544   |
|  epoch 2  |   0.4772   |
|  epoch 3  |   0.4504   |
|  epoch 4  |   0.4252   |
|  epoch 5  |   0.4039   |
|  epoch 6  |   0.3793   |
|  epoch 7  |   0.3607   |
|  epoch 8  |   0.3399   |
|  epoch 9  |   0.3175   |
|  epoch 10 |   0.2998   |
|  epoch 11 |   0.2798   |
|  epoch 12 |   0.2659   |
|  epoch 13 |   0.2464   |
|  epoch 14 |   0.2298   |
|  epoch 15 |   0.2131   |
|  epoch 16 |   0.2027   |
|  epoch 17 |   0.1833   |
|  epoch 18 |   0.1785   |
|  epoch 19 |   0.1641   |
|  epoch 20 |   0.1533   |
|  epoch 21 |   0.1411   |
|  epoch 22 |   0.1385   |
|  epoch 23 |   0.1300   |
|  epoch 24 |   0.1167   |
|  epoch 25 |   0.1102   |
|  epoch 26 |   0.1020   |
|  epoch 27 |   0.0962   |
|  epoch 28 |   0.0959   |
|  epoch 29 |   0.0881   |
|  epoch 30 |   0.0842   |
|  epoch 31 |   0.0814   |
|  epoch 32 |   0.0774   |
|  epoch 33 |   0.0703   |
|  epoch 34 |   0.0716   |
|  epoch 35 |   0.0679   |
|  epoch 36 |   0.0659   |
|  epoch 37 |   0.0598   |
|  epoch 38 |   0.0583   |
|  epoch 39 |   0.0561   |
|  epoch 40 |   0.0525   |
|  epoch 41 |   0.0589   |
|  epoch 42 |   0.0553   |
|  epoch 43 |   0.0533   |
|  epoch 44 |   0.0449   |
|  epoch 45 |   0.0430   |
|  epoch 46 |   0.0496   |
|  epoch 47 |   0.0459   |
|  epoch 48 |   0.0446   |
|  epoch 49 |   0.0437   |
|  epoch 50 |   0.0461   |
|  epoch 51 |   0.0386   |
|  epoch 52 |   0.0413   |
|  epoch 53 |   0.0353   |
|  epoch 54 |   0.0327   |
|  epoch 55 |   0.0323   |
|  epoch 56 |   0.0399   |
|  epoch 57 |   0.0418   |
|  epoch 58 |   0.0373   |
|  epoch 59 |   0.0328   |
|  epoch 60 |   0.0355   |
|  epoch 61 |   0.0337   |
|  epoch 62 |   0.0348   |
|  epoch 63 |   0.0298   |
|  epoch 64 |   0.0287   |
|  epoch 65 |   0.0320   |
|  epoch 66 |   0.0373   |
|  epoch 67 |   0.0320   |
|  epoch 68 |   0.0251   |
|  epoch 69 |   0.0238   |
|  epoch 70 |   0.0299   |
|  epoch 71 |   0.0328   |
|  epoch 72 |   0.0289   |
|  epoch 73 |   0.0270   |
|  epoch 74 |   0.0280   |
|  epoch 75 |   0.0319   |
|  epoch 76 |   0.0248   |
|  epoch 77 |   0.0234   |
|  epoch 78 |   0.0212   |
|  epoch 79 |   0.0218   |
|  epoch 80 |   0.0264   |
|  epoch 81 |   0.0278   |
|  epoch 82 |   0.0323   |
|  epoch 83 |   0.0266   |
|  epoch 84 |   0.0206   |
|  epoch 85 |   0.0184   |
|  epoch 86 |   0.0161   |
|  epoch 87 |   0.0283   |
|  epoch 88 |   0.0315   |
|  epoch 89 |   0.0250   |
|  epoch 90 |   0.0182   |
|  epoch 91 |   0.0174   |
|  epoch 92 |   0.0175   |
|  epoch 93 |   0.0216   |
|  epoch 94 |   0.0238   |
|  epoch 95 |   0.0261   |
|  epoch 96 |   0.0192   |
|  epoch 97 |   0.0227   |
|  epoch 98 |   0.0194   |
|  epoch 99 |   0.0178   |
| epoch 100 |   0.0201   |
| epoch 101 |   0.0236   |
| epoch 102 |   0.0199   |
| epoch 103 |   0.0216   |
| epoch 104 |   0.0245   |
| epoch 105 |   0.0180   |
| epoch 106 |   0.0177   |
| epoch 107 |   0.0185   |
| epoch 108 |   0.0145   |
| epoch 109 |   0.0190   |
| epoch 110 |   0.0198   |
| epoch 111 |   0.0198   |
| epoch 112 |   0.0197   |
| epoch 113 |   0.0179   |
| epoch 114 |   0.0173   |
| epoch 115 |   0.0185   |
| epoch 116 |   0.0169   |
| epoch 117 |   0.0181   |
| epoch 118 |   0.0189   |
| epoch 119 |   0.0182   |
| epoch 120 |   0.0223   |
| epoch 121 |   0.0134   |
| epoch 122 |   0.0112   |
| epoch 123 |   0.0148   |
| epoch 124 |   0.0169   |
| epoch 125 |   0.0132   |
| epoch 126 |   0.0178   |
| epoch 127 |   0.0177   |
| epoch 128 |   0.0187   |
| epoch 129 |   0.0204   |
| epoch 130 |   0.0158   |
| epoch 131 |   0.0150   |
| epoch 132 |   0.0099   |
| epoch 133 |   0.0098   |
| epoch 134 |   0.0186   |
| epoch 135 |   0.0216   |
| epoch 136 |   0.0196   |
| epoch 137 |   0.0143   |
| epoch 138 |   0.0111   |
| epoch 139 |   0.0104   |
| epoch 140 |   0.0136   |
| epoch 141 |   0.0163   |
| epoch 142 |   0.0153   |
| epoch 143 |   0.0178   |
| epoch 144 |   0.0113   |
| epoch 145 |   0.0107   |
| epoch 146 |   0.0151   |
| epoch 147 |   0.0153   |
| epoch 148 |   0.0190   |
| epoch 149 |   0.0179   |
| epoch 150 |   0.0184   |
+-----------+------------+
