+-----------+------------+
|  # Epoch  | Train_loss |
+-----------+------------+
|  epoch 1  |   0.5556   |
|  epoch 2  |   0.4787   |
|  epoch 3  |   0.4478   |
|  epoch 4  |   0.4191   |
|  epoch 5  |   0.3985   |
|  epoch 6  |   0.3762   |
|  epoch 7  |   0.3540   |
|  epoch 8  |   0.3334   |
|  epoch 9  |   0.3114   |
|  epoch 10 |   0.2935   |
|  epoch 11 |   0.2752   |
|  epoch 12 |   0.2575   |
|  epoch 13 |   0.2368   |
|  epoch 14 |   0.2181   |
|  epoch 15 |   0.2042   |
|  epoch 16 |   0.1924   |
|  epoch 17 |   0.1773   |
|  epoch 18 |   0.1655   |
|  epoch 19 |   0.1539   |
|  epoch 20 |   0.1465   |
|  epoch 21 |   0.1315   |
|  epoch 22 |   0.1226   |
|  epoch 23 |   0.1145   |
|  epoch 24 |   0.1116   |
|  epoch 25 |   0.1013   |
|  epoch 26 |   0.0951   |
|  epoch 27 |   0.0902   |
|  epoch 28 |   0.0894   |
|  epoch 29 |   0.0764   |
|  epoch 30 |   0.0827   |
|  epoch 31 |   0.0790   |
|  epoch 32 |   0.0689   |
|  epoch 33 |   0.0654   |
|  epoch 34 |   0.0669   |
|  epoch 35 |   0.0629   |
|  epoch 36 |   0.0596   |
|  epoch 37 |   0.0611   |
|  epoch 38 |   0.0550   |
|  epoch 39 |   0.0535   |
|  epoch 40 |   0.0502   |
|  epoch 41 |   0.0494   |
|  epoch 42 |   0.0450   |
|  epoch 43 |   0.0486   |
|  epoch 44 |   0.0484   |
|  epoch 45 |   0.0458   |
|  epoch 46 |   0.0426   |
|  epoch 47 |   0.0392   |
|  epoch 48 |   0.0432   |
|  epoch 49 |   0.0391   |
|  epoch 50 |   0.0368   |
|  epoch 51 |   0.0410   |
|  epoch 52 |   0.0372   |
|  epoch 53 |   0.0372   |
|  epoch 54 |   0.0449   |
|  epoch 55 |   0.0390   |
|  epoch 56 |   0.0289   |
|  epoch 57 |   0.0329   |
|  epoch 58 |   0.0309   |
|  epoch 59 |   0.0341   |
|  epoch 60 |   0.0372   |
|  epoch 61 |   0.0294   |
|  epoch 62 |   0.0316   |
|  epoch 63 |   0.0288   |
|  epoch 64 |   0.0322   |
|  epoch 65 |   0.0309   |
|  epoch 66 |   0.0266   |
|  epoch 67 |   0.0271   |
|  epoch 68 |   0.0330   |
|  epoch 69 |   0.0250   |
|  epoch 70 |   0.0312   |
|  epoch 71 |   0.0272   |
|  epoch 72 |   0.0251   |
|  epoch 73 |   0.0223   |
|  epoch 74 |   0.0239   |
|  epoch 75 |   0.0300   |
|  epoch 76 |   0.0292   |
|  epoch 77 |   0.0250   |
|  epoch 78 |   0.0289   |
|  epoch 79 |   0.0235   |
|  epoch 80 |   0.0284   |
|  epoch 81 |   0.0209   |
|  epoch 82 |   0.0231   |
|  epoch 83 |   0.0242   |
|  epoch 84 |   0.0264   |
|  epoch 85 |   0.0282   |
|  epoch 86 |   0.0283   |
|  epoch 87 |   0.0181   |
|  epoch 88 |   0.0216   |
|  epoch 89 |   0.0142   |
|  epoch 90 |   0.0191   |
|  epoch 91 |   0.0221   |
|  epoch 92 |   0.0166   |
|  epoch 93 |   0.0231   |
|  epoch 94 |   0.0248   |
|  epoch 95 |   0.0233   |
|  epoch 96 |   0.0167   |
|  epoch 97 |   0.0177   |
|  epoch 98 |   0.0216   |
|  epoch 99 |   0.0211   |
| epoch 100 |   0.0212   |
| epoch 101 |   0.0187   |
| epoch 102 |   0.0171   |
| epoch 103 |   0.0157   |
| epoch 104 |   0.0227   |
| epoch 105 |   0.0192   |
| epoch 106 |   0.0180   |
| epoch 107 |   0.0208   |
| epoch 108 |   0.0159   |
| epoch 109 |   0.0180   |
| epoch 110 |   0.0151   |
| epoch 111 |   0.0201   |
| epoch 112 |   0.0178   |
| epoch 113 |   0.0130   |
| epoch 114 |   0.0147   |
| epoch 115 |   0.0170   |
| epoch 116 |   0.0170   |
| epoch 117 |   0.0178   |
| epoch 118 |   0.0149   |
| epoch 119 |   0.0159   |
| epoch 120 |   0.0245   |
| epoch 121 |   0.0154   |
| epoch 122 |   0.0180   |
| epoch 123 |   0.0186   |
| epoch 124 |   0.0161   |
| epoch 125 |   0.0158   |
| epoch 126 |   0.0122   |
| epoch 127 |   0.0120   |
| epoch 128 |   0.0149   |
| epoch 129 |   0.0168   |
| epoch 130 |   0.0173   |
| epoch 131 |   0.0151   |
| epoch 132 |   0.0213   |
| epoch 133 |   0.0129   |
| epoch 134 |   0.0148   |
| epoch 135 |   0.0122   |
| epoch 136 |   0.0139   |
| epoch 137 |   0.0204   |
| epoch 138 |   0.0168   |
| epoch 139 |   0.0135   |
| epoch 140 |   0.0140   |
| epoch 141 |   0.0115   |
| epoch 142 |   0.0112   |
| epoch 143 |   0.0139   |
| epoch 144 |   0.0168   |
| epoch 145 |   0.0154   |
| epoch 146 |   0.0119   |
| epoch 147 |   0.0143   |
| epoch 148 |   0.0086   |
| epoch 149 |   0.0109   |
| epoch 150 |   0.0165   |
+-----------+------------+
